date,open,high,low,close,volume
2018/05/24,204.4852,204.9307,203.5942,204.0397,"13,450"
2018/05/25,203.5942,204.4852,203.1487,203.5942,"16,486"
2018/05/28,204.4852,204.9307,201.8122,202.2577,"17,673"
2018/05/29,201.8122,201.8122,199.1392,200.4757,"25,770"
2018/05/30,199.5847,199.5847,196.4662,196.9117,"49,667"
2018/05/31,197.3572,199.5847,196.4662,199.5847,"96,587"
2018/06/01,200.0302,201.8122,199.5847,199.5847,"36,652"
2018/06/04,202.7032,204.0397,202.2577,204.0397,"31,257"
2018/06/05,204.9307,204.9307,201.8122,204.0397,"27,714"
2018/06/06,204.0397,204.9307,202.2577,204.9307,"30,375"
2018/06/07,205.8217,206.2672,203.1487,204.9307,"25,277"
2018/06/08,204.0397,204.0397,201.3667,202.2577,"24,192"
2018/06/11,201.8122,202.2577,200.4757,201.3667,"22,028"
2018/06/12,200.4757,204.0397,199.5847,204.0397,"30,189"
2018/06/13,204.0397,206.7127,203.1487,206.7127,"36,081"
2018/06/14,204.9307,204.9307,201.8122,201.8122,"36,932"
2018/06/15,200.4757,205.8217,199.5847,205.8217,"49,506"
2018/06/19,200.9212,201.3667,199.5847,200.4757,"61,142"
2018/06/20,200.0302,202.7032,199.1392,201.3667,"40,708"
2018/06/21,202.7032,203.1487,201.3667,201.8122,"32,572"
2018/06/22,200.0302,202.7032,199.5847,202.7032,"44,211"
2018/06/25,203.1649,203.6267,201.318,201.318,"49,058"
2018/06/26,199.0093,199.471,196.2389,198.0858,"43,080"
2018/06/27,199.471,199.471,196.2389,196.7006,"40,863"
2018/06/28,194.8536,198.0858,193.9302,195.7771,"38,816"
2018/06/29,195.7771,200.3945,195.7771,199.9328,"36,848"
2018/07/02,201.7797,202.2415,197.6241,197.6241,"33,496"
2018/07/03,199.0093,201.318,197.1623,198.0858,"28,663"
2018/07/04,200.3945,200.8562,199.0093,199.471,"15,359"
2018/07/05,197.6241,198.5476,196.7006,198.0858,"18,225"
2018/07/06,200.8562,200.8562,198.5476,200.3945,"31,344"
2018/07/09,202.7032,205.9354,201.7797,204.5502,"41,165"
2018/07/10,205.9354,206.8588,205.0119,205.0119,"20,196"
2018/07/11,203.1649,203.1649,201.318,203.1649,"19,854"
2018/07/12,201.318,205.0119,201.318,203.6267,"23,806"
2018/07/13,205.4736,207.3206,205.4736,207.3206,"30,419"
2018/07/16,207.3206,207.7823,206.3971,206.3971,"16,107"
2018/07/17,205.4736,206.3971,204.0884,204.5502,"22,554"
2018/07/18,205.9354,206.8588,205.0119,205.9354,"45,802"
2018/07/19,208.2441,209.6293,207.3206,207.3206,"43,976"
2018/07/20,217.0171,219.3258,215.1701,219.3258,"103,652"
2018/07/23,220.711,226.2519,220.2493,222.558,"52,269"
2018/07/24,221.6345,223.0197,220.2493,222.558,"27,468"
2018/07/25,220.711,222.558,220.711,222.0962,"21,530"
2018/07/26,222.558,223.9432,221.1727,222.558,"30,856"
2018/07/27,223.4814,225.7901,222.558,225.7901,"27,129"
2018/07/30,225.7901,226.7136,225.3284,226.7136,"22,803"
2018/07/31,224.8666,227.1753,223.4814,227.1753,"28,202"
2018/08/01,228.0988,229.0223,227.6371,229.0223,"29,777"
2018/08/02,229.9458,230.4075,224.8666,225.7901,"22,775"
2018/08/03,227.1753,229.0223,226.2519,228.0988,"25,165"
2018/08/06,226.2519,228.0988,225.3284,226.7136,"22,364"
2018/08/07,226.2519,226.7136,223.0197,223.0197,"24,352"
2018/08/08,226.2519,228.5606,225.7901,228.5606,"24,382"
2018/08/09,228.0988,229.0223,227.1753,228.0988,"15,128"
2018/08/10,227.6371,228.0988,225.7901,226.2519,"16,125"
2018/08/13,223.0197,224.4049,220.711,222.0962,"17,881"
2018/08/14,226.2519,226.2519,223.9432,224.8666,"17,488"
2018/08/15,225.7901,225.7901,221.1727,223.0197,"19,236"
2018/08/16,219.7875,223.0197,219.7875,220.711,"19,155"
2018/08/17,221.1727,222.558,220.711,221.1727,"19,634"
2018/08/20,221.1727,221.6345,219.7875,221.1727,"17,014"
2018/08/21,220.711,222.558,220.2493,222.558,"13,871"
